mnxr	stratum	verdict	detail	prompt_tokens	completion_tokens
MNXR160571	movable	unbalanced	{"P": -1.0, "O": -3.0}	2724	367
MNXR136573	movable	unbalanced	{"C": 20.0}	2800	263
MNXR137574	movable	unbalanced	{"C": -19.0, "O": -16.0}	2820	638
MNXR96617	movable	unbalanced	{"C": -5.0, "P": 2.0, "O": 5.0, "N": 2.0}	2837	374
MNXR186951	movable	refused	["All participants are structureless and represent parts of a protein complex without concrete chemistry to balance."]	2696	50
MNXR165688	movable	unusable	["id MNXM1088914 has no structure in MetaNetX"]	2786	553
MNXR150411	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 15 column 17 (char 857); usage=Usage(prompt_tokens=3518, completion_tokens=578, seconds=55.93006655201316)"]	0	0
MNXR132297	movable	unbalanced	{"C": -4.0, "O": 1.0, "N": -1.0}	2834	595
MNXR157062	one_sided	refused	["The reaction has no participants and cannot be rewritten into a balanced, concrete form."]	2559	52
MNXR165884	movable	unusable	["smiles 'CC(=O)N[C@H](C(=O)O)CC(=O)N[C@@H]1[C@@H](O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O[C@H]2[C@H](O)[C@@H](O)[C@H](N)O2' unparseable"]	3030	428
MNXR159089	movable	unusable	["id MNXM147491 has no structure in MetaNetX"]	2999	330
MNXR184252	movable	unbalanced	{"C": -5.0, "P": -1.0, "O": -5.0, "N": -3.0, "*": -2.0}	2981	250
MNXR101190	movable	unbalanced	{"O": -1.0}	2773	258
MNXR165491	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 15 column 17 (char 1252); usage=Usage(prompt_tokens=2839, completion_tokens=1024, seconds=96.96242721698945)"]	0	0
MNXR165443	movable	unbalanced	{"C": -1.0, "O": -1.0}	2827	608
MNXR159543	movable	unbalanced	{"C": -33.0, "O": 13.0}	2833	742
MNXR186572	movable	unbalanced	{"C": 18.0, "P": -1.0, "O": -7.0, "N": -3.0, "*": -2.0}	2833	260
MNXR180855	movable	unbalanced	{"C": -16.0, "O": 2.0}	2842	512
MNXR102686	movable	unbalanced	{"C": 10.0, "P": 1.0}	2844	810
MNXR155565	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 37 column 17 (char 1414); usage=Usage(prompt_tokens=3392, completion_tokens=704, seconds=65.24706136301393)"]	0	0
MNXR185705	movable	unbalanced	{"C": 12.0, "P": 1.0, "O": 7.0, "N": 3.0, "*": 2.0}	2914	175
MNXR173724	movable	unbalanced	{"C": -4.0, "O": -1.0}	2941	291
MNXR179753	movable	unbalanced	{"N": -1.0, "C": -8.0, "O": -5.0}	2732	381
MNXR178395	movable	unbalanced	{"O": 1.0}	2717	237
MNXR102773	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 15 column 17 (char 1274); usage=Usage(prompt_tokens=2844, completion_tokens=1024, seconds=96.53645773098106)"]	0	0
MNXR132157	movable	refused	["Both deoxyhemoglobin and hydrolyzed hemoglobin are structureless and cannot be replaced with concrete structures without"]	2644	62
MNXR190190	movable	unbalanced	{"C": 29.0, "P": 2.0, "O": 20.0, "N": 5.0}	2894	286
MNXR178310	movable	unbalanced	{"C": 1.0, "O": -2.0}	2645	240
MNXR159563	movable	unbalanced	{"S": -2.0, "C": -7.0, "O": -4.0}	2758	426
MNXR137484	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 25 column 17 (char 1339); usage=Usage(prompt_tokens=2743, completion_tokens=1024, seconds=96.64605180700892)"]	0	0
MNXR122436	movable	unbalanced	{"N": 2.0, "C": -6.0, "*": 2.0, "O": -1.0}	2667	215
MNXR183262	movable	unbalanced	{"O": 1.0}	2872	548
MNXR172597	movable	unusable	["smiles 'CC(C)NC[C@H]1CCC2=C(C=C([N+](=O)[O-])C(CO)OS(=O)(=O)O)[C@H]1N' unparseable"]	2902	320
MNXR158005	movable	unbalanced	{"C": -1.0, "O": -1.0}	2900	357
MNXR172030	movable	unbalanced	{"N": 1.0, "C": 4.0}	2831	306
MNXR96356	movable	unusable	["smiles 'C1=NC2=NC(=N[C@@H]([C@H]([C@@H]([C@H]1O)O)O)COP(=O)(O)OP(=O)(O)O)C(=O)N2)[W]' unparseable", "smiles 'C1=NC2=NC(=N[C@@H]([C@H]([C@@H]([C@H]1O)O)O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(=O)N2)[W]' unparseable"]	2804	513
MNXR132327	movable	balanced	{}	2887	345
MNXR186696	movable	unbalanced	{"C": 30.0, "P": 3.0, "O": 21.0, "N": 9.0, "*": 6.0}	2921	174
MNXR149882	movable	unbalanced	{"C": 1.0}	2897	274
MNXR165563	movable	balanced	{}	2716	290
MNXR96575	movable	unbalanced	{"C": -1.0, "P": 1.0, "O": 8.0, "N": -1.0}	2806	502
MNXR100939	one_sided	refused	["The reaction has no participants and cannot be rewritten into a balanced, concrete form."]	2559	52
MNXR195320	movable	balanced	{}	2692	241
MNXR97690	movable	unusable	["harness: BadJSON: Expecting ',' delimiter: line 7 column 426 (char 1528); usage=Usage(prompt_tokens=3080, completion_tokens=1016, seconds=95.67851919599343)"]	0	0
MNXR136610	movable	unbalanced	{"C": -3.0, "P": -1.0, "O": -6.0}	2830	255
MNXR165814	movable	balanced	{}	2721	401
MNXR182998	movable	unbalanced	{"C": 8.0, "O": 5.0, "N": 1.0, "*": 1.0}	3018	505
MNXR123191	movable	unbalanced	{"C": -1.0, "P": 2.0, "*": 4.0, "O": 3.0}	2815	372
MNXR179951	movable	unbalanced	{"N": 5.0, "C": 5.0, "P": 1.0, "O": 2.0}	2730	195
MNXR159826	movable	unbalanced	{"C": 4.0, "O": -1.0}	2989	451
MNXR158514	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 29 column 17 (char 1349); usage=Usage(prompt_tokens=2948, completion_tokens=1024, seconds=95.22035646400764)"]	0	0
MNXR143105	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 16 column 17 (char 1243); usage=Usage(prompt_tokens=2866, completion_tokens=1024, seconds=95.74231977999443)"]	0	0
MNXR131992	movable	unbalanced	{"C": 1.0}	2700	312
MNXR199355	movable	unbalanced	{"C": 7.0, "P": -2.0, "*": -2.0, "O": 2.0}	2763	552
MNXR173373	movable	unbalanced	{"C": 1.0, "O": 2.0}	2877	236
MNXR133414	movable	unbalanced	{"N": 6.0, "C": 12.0, "P": 2.0, "O": 10.0}	2702	205
MNXR132120	movable	unbalanced	{"C": -4.0, "O": 1.0}	2997	316
MNXR131027	movable	unbalanced	{"C": -1.0}	2712	231
MNXR201093	movable	unbalanced	{"C": -5.0, "O": -1.0}	2841	368
MNXR157711	movable	unbalanced	{"C": -11.0, "O": 5.0}	2982	648
MNXR135984	movable	unbalanced	{"C": -1.0, "O": 2.0}	2697	392
MNXR165494	movable	unbalanced	{"P": 1.0, "O": 3.0}	2828	282
MNXR165564	movable	unbalanced	{"C": 1.0, "P": -1.0, "O": -2.0}	2915	466
MNXR195142	movable	balanced	{}	2746	220
MNXR132271	movable	unbalanced	{"N": -2.0, "C": -2.0, "O": -1.0}	2736	482
MNXR144869	movable	unusable	["harness: SchemaRejected: {\"error\":{\"code\":400,\"message\":\"request (6360 tokens) exceeds the available context size (4096 tokens), try increasing it\",\"type\":\"exceed_context_size_error\",\"n_prompt_tokens\":6360,\"n_ctx\":4096}}"]	0	0
MNXR111222	movable	unusable	["id MNXM12 has no structure in MetaNetX"]	2828	536
MNXR108391	movable	unbalanced	{"P": -2.0, "O": -6.0}	2798	310
MNXR199044	movable	unbalanced	{"C": 3.0, "O": 4.0, "N": -1.0}	2903	514
MNXR157638	movable	unbalanced	{"C": 10.0, "O": 8.0}	3061	902
MNXR197368	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 17 column 17 (char 1307); usage=Usage(prompt_tokens=2935, completion_tokens=1024, seconds=97.96008946301299)"]	0	0
MNXR131337	movable	unbalanced	{"N": -1.0, "C": -1.0, "Cl": -1.0}	2807	353
MNXR178565	movable	unbalanced	{"N": -7.0, "C": -15.0, "P": -3.0, "O": -15.0}	2747	233
MNXR98640	one_sided	refused	["The reaction has no participants and cannot be meaningfully rewritten."]	2558	48
MNXR130857	movable	unbalanced	{"C": -1.0, "O": 2.0}	2724	389
MNXR135406	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 24 column 17 (char 1495); usage=Usage(prompt_tokens=2864, completion_tokens=1024, seconds=90.95707477498217)"]	0	0
MNXR160518	movable	unusable	["smiles 'CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1NC(=O)[C@H](N)CC(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N' unparseable"]	2848	855
MNXR183016	movable	unbalanced	{"C": -6.0, "O": -4.0}	2922	507
MNXR170854	movable	unusable	["smiles 'O[C@H]1[C@H](O)[C@@H](O)[C@@H](O[C@@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2C(=O)O)O[C@@H]1C(=O)O.O[C@H]1[C@H](O)[C@@H](O)[C@@H](O[C@@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2C( =O)O)O[C@@H]1C(=O)O' unparseable"]	2813	708
MNXR133518	movable	unbalanced	{"C": -3.0, "O": -2.0}	2910	333
MNXR179915	movable	refused	["The reaction cannot be made concrete without inventing chemistry; the transformation is unclear and the participants are"]	2719	59
